ref,text
001,"Як на ноги сп'явся, то й за працю взявся."
001,Бідному в житті тільки робота та скорбота.
001,Шилом моря не нагрієш від тяжкої роботи не розбагатієш.
001,Від трудів праведних не наживеш палат каменних.
001,Частіш: хто робить голий ходить.
001,"Не кожен, хто дбає, той і має."
001,Все робиться трудовими пучками та ручками.
002,"Біда красить, як кип'яток рака."
002,"Коли біда діє, голова біліє."
002,"Козак з бідою, як риба з водою."
002,"Біда бідака знайде, хоч і сонце зайде."
002,А у нашій школі дітки й стіни голі.
002,"Як село, то й голе: в одній хаті мак, а в другій так."
002,Нема слободи без біди.
002,Гроші-то й роблять біду на світі.
002,"Не ходить біда по лісу, тільки по бідних людях."
002,"Тільки й рідні, що лапті одні!"
002,"Бідність - не порок, а гірше нещастя."
002,"Багатому свято, а вбогому діла багато."
002,"Робота мене згорбила, не розкіш."
003,"Не йде на ум ні їда, ні вода, коли перед очима біда."
003,"Хоч плач і не втирайся, а в тугу не вдавайся."
003,"Біда не дуда: стань в неї дути, то сльози йдуть."
003,"Той біди не бачив, хто сльозами не вмивався."
003,Біда біду бачить по сліду.
003,Біда ще й за горе зачепилася.
003,Біда бідою їде й бідою поганяє.
003,"Як одна біда йде, то й другу за собою веде."
003,За злиднями добра не доробишся.
003,"Уклюнулись злидні на час, а не виженеш і за рік."
003,"Просились злидні на три дні, та чорт їх довіку викидає."
003,"Біда як іде до кого в гості, то з собою і злидні бере."
004,Горе море: всього не вип'єш.
004,"Горе - що море: ні перепливти, ні випливти."
004,"На віку горя море, а радощів і в ложку не збереш."
004,"Всюди біда, лише там добре, де нас нема."
004,"Трудно вийти з біди, як каменю з води."
004,"Кого біда учепиться, то на спину стеребиться."
004,"Од біди тікав, та на другу натрапив."
004,"Біда біду перебуде - одна згине, друга буде."
004,"Впився бідою, похмелився сльозою."
004,"Не за нами одними біда прийшла, та тільки нам від того не легше."
004,Біда вимучить біда й виучить.
004,"Біда здибає легко, а трудно її збутися."
004,"Не біда, що зайшла в двір, а біда, що не виженеш."
005,Горе тільки рака красить.
005,Лихо нікого не красить.
005,Година горя довша за рік радощів.
005,По горе не треба йти за море - його й дома хватає.
005,"Канада добрий край, як не маєш грошей, то здихай."
005,"Що таке Америка, спитай у Каленика: їздив по гроші, а привіз гниди й воші."
005,І в Відні люди бідні.
005,І за морем люди б'ються з торем.
005,І на горах родить горе.
005,Не шукай горя - воно само знайде.
005,"Води хоч топитись, та нема де напитись."
005,"Мало слів, а горя річка."
005,"Бреду горем, мов тим морем."
006,"Де лихо пристане, там і трава в'яне."
006,"Наберуся три копи лиха, ще й зверху."
006,"Живемо без змін: багатіти немає змоги, а голіть дальше нікуди."
